index_id,date_anio,date,day_week,close,open,high,low,adj_close,volume
00152,2023,2023-08-04,4,6.924,6.928,6.99,6.864,6.5394,12484336
00153,2023,2023-08-07,0,6.968,6.948,6.99,6.856,6.581,6152792
00154,2023,2023-08-08,1,6.834,6.87,6.896,6.69,6.4544,13063336
00155,2023,2023-08-09,2,6.91,6.964,6.984,6.862,6.5262,6609257
00156,2023,2023-08-10,3,7.166,6.964,7.2,6.95,6.768,21905247
00157,2023,2023-08-11,4,7.18,7.142,7.214,7.134,6.7812,10820304
00158,2023,2023-08-14,0,7.202,7.164,7.302,7.164,6.802,8069992
00159,2023,2023-08-15,1,7.112,7.204,7.222,7.042,6.717,5892964
00160,2023,2023-08-16,2,7.09,7.064,7.156,7.048,6.6962,11525714
00161,2023,2023-08-17,3,7.078,7.066,7.17,7.034,6.6849,7478339
00162,2023,2023-08-18,4,7.06,7.034,7.072,6.99,6.6679,6683744
00163,2023,2023-08-21,0,7.096,7.064,7.17,7.062,6.7019,5128446
00164,2023,2023-08-22,1,7.128,7.142,7.208,7.116,6.7321,6788871
00165,2023,2023-08-23,2,7.078,7.142,7.214,7.044,6.6849,6365871
00166,2023,2023-08-24,3,7.172,7.13,7.186,7.07,6.7736,11095065
00167,2023,2023-08-25,4,7.15,7.166,7.232,7.124,6.7529,5393872
00168,2023,2023-08-28,0,7.28,7.202,7.292,7.202,6.8756,1305694
00169,2023,2023-08-29,1,7.35,7.312,7.382,7.274,6.9418,10415306
00170,2023,2023-08-30,2,7.394,7.38,7.5,7.378,6.9833,11952596
00171,2023,2023-08-31,3,7.266,7.414,7.434,7.264,6.8624,16219782
00172,2023,2023-09-01,4,7.264,7.304,7.414,7.264,6.8605,10124044
00173,2023,2023-09-04,0,7.288,7.302,7.358,7.262,6.8832,3654329
00174,2023,2023-09-05,1,7.156,7.224,7.254,7.144,6.7585,12927896
00175,2023,2023-09-06,2,7.02,7.148,7.152,6.996,6.6301,15099915
00176,2023,2023-09-07,3,6.944,7.0,7.068,6.942,6.5583,9168559
00177,2023,2023-09-08,4,6.97,7.0,7.0,6.826,6.5829,8841775
00178,2023,2023-09-11,0,7.07,7.028,7.12,7.012,6.6773,7851523
00179,2023,2023-09-12,1,7.092,7.078,7.12,7.05,6.6981,9627032
00180,2023,2023-09-13,2,7.118,7.092,7.158,7.056,6.7226,6346004
00181,2023,2023-09-14,3,7.244,7.1,7.26,7.062,6.8416,19015732
00182,2023,2023-09-15,4,7.21,7.28,7.318,7.176,6.8095,22765195
00183,2023,2023-09-18,0,7.156,7.208,7.244,7.106,6.7585,7861595
00184,2023,2023-09-19,1,7.314,7.134,7.314,7.084,6.9078,9903937
00185,2023,2023-09-20,2,7.494,7.33,7.508,7.3,7.0778,17889246
00186,2023,2023-09-21,3,7.492,7.41,7.504,7.376,7.0759,10726271
00187,2023,2023-09-22,4,7.466,7.468,7.524,7.434,7.0513,24339333
00188,2023,2023-09-25,0,7.39,7.45,7.548,7.35,6.9795,6971179
00189,2023,2023-09-26,1,7.37,7.38,7.43,7.304,6.9606,9135884
00190,2023,2023-09-27,2,7.446,7.354,7.47,7.33,7.0324,9511093
00191,2023,2023-09-28,3,7.688,7.476,7.688,7.462,7.261,17714007
00192,2023,2023-09-29,4,7.71,7.678,7.756,7.636,7.2818,19296251
00193,2023,2023-10-02,0,7.692,7.72,7.822,7.666,7.2648,79605334
00194,2023,2023-10-03,1,7.732,7.636,7.882,7.618,7.3025,81702271
00195,2023,2023-10-04,2,7.626,7.71,7.76,7.566,7.2024,38065295
00196,2023,2023-10-05,3,7.642,7.686,7.746,7.576,7.2175,12884419
00197,2023,2023-10-06,4,7.676,7.692,7.718,7.584,7.2496,15797816
00198,2023,2023-10-09,0,7.422,7.484,7.55,7.396,7.159,10581330
00199,2023,2023-10-10,1,7.65,7.492,7.708,7.492,7.3789,12843005
00200,2023,2023-10-11,2,7.782,7.604,7.792,7.58,7.5062,37239036
00201,2023,2023-10-12,3,7.798,7.792,7.846,7.748,7.5217,14344572
00202,2023,2023-10-13,4,7.682,7.78,7.808,7.65,7.4098,12665493
00203,2023,2023-10-16,0,7.7,7.73,7.756,7.63,7.4271,10279317
00204,2023,2023-10-17,1,7.744,7.698,7.758,7.654,7.4696,24423209
00205,2023,2023-10-18,2,7.688,7.766,7.798,7.668,7.4155,14541712
00206,2023,2023-10-19,3,7.624,7.666,7.68,7.566,7.3538,15059932
00207,2023,2023-10-20,4,7.54,7.59,7.618,7.52,7.2728,14938480
00208,2023,2023-10-23,0,7.522,7.522,7.544,7.43,7.2554,9429359
00209,2023,2023-10-24,1,7.392,7.522,7.528,7.36,7.13,19719702
00210,2023,2023-10-25,2,7.43,7.37,7.47,7.322,7.1667,16909629
00211,2023,2023-10-26,3,7.462,7.378,7.474,7.306,7.1976,15551700
00212,2023,2023-10-27,4,7.442,7.516,7.624,7.414,7.1783,11428201
00213,2023,2023-10-30,0,7.504,7.466,7.536,7.406,7.2381,11384617
00214,2023,2023-10-31,1,7.422,7.094,7.516,7.05,7.159,18349423
00215,2023,2023-11-01,2,7.59,7.478,7.648,7.426,7.321,11478186
00216,2023,2023-11-02,3,7.636,7.622,7.666,7.55,7.3654,11454498
00217,2023,2023-11-03,4,7.734,7.684,7.746,7.624,7.4599,13747545
00218,2023,2023-11-06,0,7.718,7.708,7.766,7.652,7.4445,10685482
00219,2023,2023-11-07,1,7.724,7.688,7.786,7.66,7.4503,8733330
00220,2023,2023-11-08,2,7.832,7.666,7.862,7.662,7.5544,17550499
00221,2023,2023-11-09,3,7.972,7.84,7.978,7.814,7.6895,13497102
00222,2023,2023-11-10,4,7.9,7.9,7.99,7.9,7.62,10272079
00223,2023,2023-11-13,0,8.004,7.898,8.024,7.898,7.7204,12742353
00224,2023,2023-11-14,1,8.218,8.0,8.24,7.996,7.9268,18856496
00225,2023,2023-11-15,2,8.222,8.2,8.3,8.172,7.9306,11848007
00226,2023,2023-11-16,3,8.168,8.222,8.26,8.166,7.8785,10857034
00227,2023,2023-11-17,4,8.284,8.2,8.302,8.192,7.9904,24591636
00228,2023,2023-11-20,0,8.286,8.28,8.332,8.27,7.9924,12598889
00229,2023,2023-11-21,1,8.296,8.26,8.336,8.23,8.002,10608500
00230,2023,2023-11-22,2,8.372,8.3,8.386,8.298,8.0753,11327942
00231,2023,2023-11-23,3,8.444,8.33,8.49,8.324,8.1448,11424365
00232,2023,2023-11-24,4,8.39,8.44,8.514,8.39,8.0927,11540843
00233,2023,2023-11-27,0,8.4,8.388,8.426,8.368,8.1023,11357967
00234,2023,2023-11-28,1,8.586,8.404,8.586,8.388,8.2817,12851618
00235,2023,2023-11-29,2,8.696,8.58,8.708,8.578,8.3878,11677427
00236,2023,2023-11-30,3,8.506,8.704,8.726,8.48,8.2046,22894079
00237,2023,2023-12-01,4,8.556,8.572,8.61,8.534,8.2528,8048948
00238,2023,2023-12-04,0,8.66,8.618,8.688,8.554,8.3531,6390576
